title,original_title,score,genre,year,description,cast,public,country,language,episode_duration,num_episodes,total_duration
Blackadder Goes Forth,,8.8,"Comedy,War",1989,"Stuck in the middle of World War I, Captain Edmund Blackadder does his best to escape the banality of the war.","Rowan Atkinson,Tony Robinson,Stephen Fry",TV-PG,United Kingdom,English,2h 55m,6,175
Freaks and Geeks,,8.8,"Comedy,Drama",1999–2000,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.,"Paul Feig,Linda Cardellini,John Francis Daley,James Franco",TV-14,United States,English,44m,18,792
Pride and Prejudice,,8.8,"Drama,Romance",1995,"While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy.","Colin Firth,Jennifer Ehle,Susannah Harker",TV-PG,United Kingdom,English,5h 27m,6,327
Succession,,8.8,"Comedy,Drama",2018–2023,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.","Jesse Armstrong,Nicholas Braun,Brian Cox,Kieran Culkin",TV-MA,United States,English,1h,39,60
Fawlty Towers,,8.8,Comedy,1975–1979,"Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.","John Cleese,Prunella Scales,Andrew Sachs",TV-PG,United Kingdom,"English,Spanish",30m,12,360
Leyla and Mecnun,Original title: Leyla ile Mecnun,9.1,"Adventure,Comedy,Drama",2011–2023,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.","Ali Atay,Ahmet Mümtaz Taylan,Cengiz Bozkurt",TV-PG,Turkey,Turkish,1h 20m,144,80
Curb Your Enthusiasm,,8.8,Comedy,2000– ,The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.,"Larry David,Larry David,Cheryl Hines,Jeff Garlin",TV-MA,United States,English,28m,111,3108
The West Wing,,8.9,Drama,1999–2006,Inside the lives of staffers in the West Wing of the White House.,"Aaron Sorkin,Martin Sheen,Rob Lowe,Allison Janney",TV-14,United States,English,44m,155,6820
As If,Original title: Gibi,9.0,Comedy,2021– ,Yilmaz and Ilkkan are two friends who are constantly fighting each other. Their greatest feature is always being able to do something that will turn their ordinary lives upside down.,"Feyyaz Yigit,Kivanç Kilinç,Ahmet Kürsat Öçalan",,Turkey,Turkish,,35,
Das Boot,,8.8,"Drama,War",1985,A World War II German U-Boat crew have a terrifying patrol mission in the early days of the war.,"Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann",TV-MA,"West Germany,France,United Kingdom,Italy","German,French,English",4h 53m,6,293
The Last of Us,,8.9,"Action,Adventure,Drama",2023– ,"After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope.","Neil Druckmann,Craig Mazin,Pedro Pascal,Bella Ramsey,Anna Torv",TV-MA,"Canada,United States",English,50m,10,500
Taskmaster,,9.0,"Comedy,Game-Show",2015– ,"Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word.","Greg Davies,Alex Horne,Kerry Godliman",TV-14,United Kingdom,English,47m,139,6533
Monty Python's Flying Circus,,8.8,Comedy,1969–1974,The original surreal sketch comedy showcase for the Monty Python troupe.,"Graham Chapman,Eric Idle,Terry Jones,Graham Chapman,John Cleese,Terry Gilliam",TV-14,United Kingdom,"English,Arabic,French,German,Italian,Mandarin,Spanish",30m,45,1350
It's Always Sunny in Philadelphia,,8.8,Comedy,2005– ,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,"Rob McElhenney,Glenn Howerton,Charlie Day,Rob McElhenney,Kaitlin Olson",TV-MA,United States,English,22m,165,3630
TVF Pitchers,,9.1,"Comedy,Drama",2015–2022,A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture.,"Arunabh Kumar,Naveen Kasturia,Arunabh Kumar,Abhay Mahajan",TV-MA,India,"Hindi,English",40m,10,400
Africa,,8.9,Documentary,2013,"Africa, the world's wildest continent. David Attenborough takes us on an awe-inspiring journey through one of the most diverse places in the world. We visit deserts, savannas, and jungles and meet up with some of Africa's amazing wildlife.","David Attenborough,Simon Blakeney,Mark Deeble",TV-PG,United Kingdom,English,6h,7,360
Apocalypse: The Second World War,Original title: Apocalypse: La 2ème guerre mondiale,9.0,"Documentary,History,War",2009,"This six-part series traces the Second World War, from the rise of the Nazis to the surrender of the Japanese, with detailed portraits of key figures.","Mathieu Kassovitz,Martin Sheen,Rudolf Hess",TV-MA,France,French,5h 12m,6,312
Friends,,8.9,"Comedy,Romance",1994–2004,Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City.,"David Crane,Marta Kauffman,Jennifer Aniston,Courteney Cox,Lisa Kudrow",TV-14,United States,"English,Spanish,Italian,French,Dutch,Hebrew",22m,234,5148
Last Week Tonight with John Oliver,,8.9,"Comedy,News,Talk-Show",2014– ,Former Daily Show host and correspondent John Oliver brings his persona to this weekly news satire program.,"John Oliver,David Kaye,Ryan Barger",TV-MA,United States,English,30m,328,9840
When They See Us,,8.9,"Biography,Crime,Drama",2019,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,"Ava DuVernay,Asante Blackk,Caleel Harris,Ethan Herisse",TV-MA,United States,English,4h 56m,4,296
Gravity Falls,,8.9,"Animation,Adventure,Comedy",2012–2016,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.","Alex Hirsch,Jason Ritter,Alex Hirsch,Kristen Schaal",TV-Y7,"United States,Spain,Argentina",English,23m,40,920
Nathan for You,,8.9,"Documentary,Comedy",2013–2017,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for.","Nathan Fielder,Michael Koman,Nathan Fielder,Anthony Filosa,Salomon Flores",TV-14,United States,English,30m,32,960
Cowboy Bebop,Original title: Kaubôi bibappu: Cowboy Bebop,8.9,"Animation,Action,Adventure",1998–1999,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,"Hajime Yatate,Kôichi Yamadera,Unshô Ishizuka,Megumi Hayashibara",TV-14,Japan,Japanese,24m,26,624
Fargo,,8.9,"Crime,Drama,Thriller",2014–2023,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","Noah Hawley,Billy Bob Thornton,Martin Freeman,Allison Tolman",TV-MA,United States,"English,German,Korean,Spanish,American Sign Language,French,Ukrainian,Hebrew,Russian",53m,51,2703
The Beatles: Get Back,,9.0,"Documentary,Biography,Music",2021,Documentary about the music group The Beatles featuring in-studio footage that was shot in early 1969 for the 1970 feature film 'Let It Be.',,PG-13,"United Kingdom,New Zealand,United States",English,7h 48m,3,468
Persona,Original title: Sahsiyet,9.0,"Crime,Drama,Mystery",2018,A man diagnosed with Alzheimer's decides to punish criminals.,"Haluk Bilginer,Cansu Dere,Metin Akdülger",TV-MA,Turkey,Turkish,1h 5m,12,65
Dekalog,,9.0,Drama,1989–1990,"Ten television drama films, each one based on one of the Ten Commandments.","Artur Barcis,Olgierd Lukaszewicz,Olaf Lubaszenko",TV-MA,"Poland,West Germany",Polish,9h 32m,10,572
Seinfeld,,8.9,Comedy,1989–1998,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,"Larry David,Jerry Seinfeld,Jerry Seinfeld,Julia Louis-Dreyfus,Michael Richards",TV-PG,United States,English,22m,173,3806
True Detective,,8.9,"Crime,Drama,Mystery",2014– ,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.","Nic Pizzolatto,Vince Vaughn,Colin Farrell,Rachel McAdams",TV-MA,United States,English,55m,25,1375
Hunter x Hunter,,9.0,"Animation,Action,Adventure",2011–2014,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger.","Yoshihiro Togashi,Issei Futamata,Megumi Han,Cristina Valenzuela",TV-14,"Japan,Poland","Japanese,English",24m,148,3552
The Civil War,,9.1,"Documentary,History,War",1990,A comprehensive survey of the American Civil War.,"David McCullough,Sam Waterston,Julie Harris",TV-14,United States,English,11h 20m,9,680
Only Fools and Horses,Original title: Only Fools and Horses....,9.0,Comedy,1981–2003,Comedy that follows two brothers from London's rough Peckham estate as they wheel and deal through a number of dodgy deals and search for the big score that'll make them millionaires.,"John Sullivan,David Jason,Nicholas Lyndhurst,Roger Lloyd Pack",TV-PG,United Kingdom,English,1h 35m,64,95
Clarkson's Farm,,9.0,"Documentary,Comedy,Reality-TV",2021– ,Follow Jeremy Clarkson as he attempts to run a farm in the countryside.,"Jeremy Clarkson,Kaleb Cooper,Charlie Ireland",TV-PG,United Kingdom,English,45m,17,765
Death Note,Original title: Death Note: Desu nôto,9.0,"Animation,Crime,Drama",2006–2007,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,"Mamoru Miyano,Brad Swaile,Vincent Tong",TV-14,Japan,Japanese,23m,37,851
Better Call Saul,,8.9,"Crime,Drama",2015–2022,The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.,"Vince Gilligan,Peter Gould,Bob Odenkirk,Rhea Seehorn,Jonathan Banks",TV-MA,United States,"English,Spanish,Vietnamese",46m,63,2898
Frozen Planet,,9.0,Documentary,2011–2012,Focuses on life and the environment in both the Arctic and Antarctic.,"David Attenborough,Alec Baldwin,Chadden Hunter",TV-PG,"United Kingdom,United States,Spain,Germany,Greece,Canada","English,Russian",5h 33m,10,333
Firefly,,9.0,"Adventure,Drama,Sci-Fi",2002–2003,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.","Joss Whedon,Nathan Fillion,Gina Torres,Alan Tudyk",TV-14,United States,"English,Mandarin,Cantonese",44m,14,616
